ID,Predicted Value
1,10
2,14
3,14
4,14
5,14
6,10
7,7
8,10
9,14
10,14
11,10
12,0
13,14
14,14
15,14
16,10
17,14
18,0
19,14
20,10
21,11
22,0
23,10
24,7
25,10
26,10
27,10
28,14
29,10
30,10
31,10
32,14
33,10
34,10
35,10
36,14
37,14
38,14
39,10
40,10
41,14
42,11
43,10
44,10
45,10
46,0
47,0
48,14
49,14
50,14
51,10
52,10
53,10
54,10
55,14
56,14
57,10
58,14
59,10
60,10
61,14
62,10
63,10
64,10
65,10
66,10
67,7
68,14
69,14
70,10
71,10
72,10
73,14
74,10
75,14
76,11
77,14
78,14
79,14
80,10
81,10
82,11
83,14
84,10
85,10
86,10
87,10
88,11
89,14
90,10
91,10
92,10
93,0
94,14
95,14
96,10
97,7
98,14
99,14
100,0
101,10
102,0
103,10
104,7
105,14
106,14
107,10
108,14
109,10
110,14
111,14
112,14
113,10
114,10
115,14
116,7
117,11
118,10
119,10
120,10
121,14
122,10
123,14
124,14
125,10
126,10
127,10
128,10
129,10
130,10
131,10
132,10
133,10
134,10
135,14
136,10
137,14
138,11
139,7
140,14
141,10
142,10
143,10
144,10
145,10
146,14
147,10
148,0
149,13
150,10
151,7
152,10
153,10
154,10
155,14
156,10
157,0
158,14
159,13
160,10
161,14
162,10
163,14
164,11
165,14
166,13
167,11
168,10
169,14
170,10
171,10
172,10
173,10
174,14
175,14
176,14
177,14
178,14
179,10
180,14
181,10
182,10
183,10
184,7
185,10
186,14
187,10
188,10
189,10
190,14
191,14
192,14
193,10
194,10
195,10
196,10
197,10
198,10
199,14
200,14
201,10
202,11
203,10
204,10
205,14
206,14
207,10
208,10
209,14
210,14
211,10
212,0
213,14
214,14
215,7
216,14
217,11
218,10
219,10
220,10
221,14
222,14
223,0
224,10
225,14
226,7
227,7
228,10
229,10
230,14
231,14
232,10
233,14
234,14
235,10
236,10
237,10
238,14
239,14
240,10
241,14
242,14
243,10
244,10
245,10
246,10
247,10
248,14
249,10
250,10
251,10
252,14
253,14
254,14
255,10
256,10
257,10
258,10
259,10
260,7
261,10
262,10
263,14
264,10
265,10
266,10
267,14
268,10
269,0
270,10
271,14
272,0
273,9
274,14
275,10
276,14
277,14
278,14
279,14
280,14
281,10
282,10
283,14
284,10
285,10
286,14
287,14
288,10
289,10
290,7
291,10
292,10
293,10
294,10
295,14
296,10
297,14
298,0
299,14
300,14
301,14
302,0
303,10
304,14
305,10
306,14
307,10
308,10
309,11
310,10
311,0
312,10
313,7
314,14
315,13
316,14
317,14
318,10
319,14
320,14
321,14
322,14
323,10
324,14
325,14
326,10
327,10
328,14
329,10
330,14
331,10
332,7
333,14
334,10
335,13
336,10
337,10
338,10
339,14
340,10
341,10
342,14
343,10
344,14
345,10
346,14
347,14
348,10
349,14
350,14
351,10
352,10
353,10
354,10
355,14
356,10
357,10
358,10
359,10
360,14
361,14
362,14
