ID,Predicted Value
1,0
2,14
3,10
4,14
5,10
6,10
7,14
8,14
9,10
10,10
11,14
12,10
13,14
14,10
15,14
16,10
17,10
18,10
19,14
20,14
21,11
22,7
23,10
24,10
25,11
26,14
27,10
28,11
29,10
30,10
31,10
32,14
33,11
34,14
35,14
36,10
37,7
38,10
39,10
40,14
41,10
42,14
43,10
44,10
45,14
46,10
47,10
48,10
49,10
50,14
51,10
52,10
53,14
54,10
55,10
56,10
57,10
58,10
59,10
60,14
61,10
62,14
63,0
64,7
65,10
66,10
67,14
68,14
69,14
70,7
71,10
72,10
73,14
74,10
75,10
76,10
77,10
78,10
79,14
80,14
81,10
82,0
83,10
84,10
85,14
86,14
87,7
88,14
89,14
90,10
91,10
92,0
93,7
94,14
95,0
96,10
97,10
98,14
99,10
100,14
101,10
102,10
103,10
104,10
105,14
106,14
107,10
108,10
109,14
110,10
111,14
112,7
113,10
114,14
115,14
116,10
117,10
118,14
119,10
120,10
121,14
122,10
123,14
124,14
125,10
126,10
127,10
128,10
129,10
130,0
131,10
132,14
133,14
134,10
135,11
136,7
137,14
138,14
139,14
140,14
141,10
142,10
143,14
144,10
145,10
146,10
147,14
148,10
149,11
150,14
151,10
152,10
153,10
154,10
155,10
156,14
157,10
158,14
159,14
160,10
161,11
162,14
163,10
164,10
165,10
166,14
167,14
168,10
169,10
170,0
171,10
172,10
173,10
174,14
175,10
176,7
177,10
178,10
179,10
180,14
181,7
182,10
183,14
184,14
185,10
186,10
187,14
188,10
189,14
190,14
191,10
192,10
193,10
194,10
195,10
196,14
197,14
198,14
199,10
200,10
201,10
202,14
203,14
204,14
205,10
206,14
207,10
208,10
209,10
210,10
211,10
212,14
213,14
214,14
215,14
216,0
217,7
218,10
219,14
220,0
221,10
222,14
223,14
224,14
225,0
226,10
227,10
228,10
229,10
230,10
231,0
232,10
233,10
234,7
235,10
236,10
237,0
238,10
239,10
240,0
241,14
242,10
243,14
244,10
245,0
246,7
247,14
248,10
249,10
250,14
251,10
252,14
253,10
254,14
255,10
256,10
257,10
258,10
259,10
260,10
261,10
262,10
263,10
264,14
265,14
266,10
267,14
268,10
269,14
270,0
271,10
272,10
273,10
274,14
275,10
276,10
277,14
278,14
279,0
280,10
281,10
282,14
283,14
284,10
285,14
286,10
287,10
288,10
289,14
290,10
291,14
292,10
293,7
294,10
295,0
296,14
297,10
298,10
299,14
300,10
301,7
302,11
303,7
304,14
305,7
306,10
307,10
308,10
309,7
310,10
311,10
312,10
313,10
314,10
315,11
316,10
317,14
318,14
319,14
320,10
321,7
322,10
323,7
324,10
325,10
326,10
327,10
328,14
329,14
330,0
331,11
332,10
333,14
334,10
335,10
336,10
337,10
338,10
339,7
340,10
341,10
342,14
343,14
344,14
345,14
346,14
347,7
348,11
349,14
350,10
351,14
352,14
353,10
354,14
355,10
356,10
357,10
358,10
359,10
360,10
361,7
362,14
363,14
364,14
365,14
366,10
367,14
368,11
369,14
370,10
371,10
372,10
373,14
374,10
375,10
376,10
377,10
378,14
379,11
380,14
381,14
382,10
383,10
384,14
385,10
386,10
387,10
388,14
389,14
390,10
391,10
392,0
393,10
394,10
395,10
396,10
397,0
398,14
399,0
400,10
401,14
402,10
403,10
404,10
405,10
406,10
407,14
408,14
409,14
410,11
411,14
412,11
413,10
414,11
415,10
416,10
417,10
418,14
419,10
420,14
421,10
422,10
423,10
424,10
425,0
426,10
427,0
428,10
429,10
430,10
431,14
432,10
433,10
434,10
435,10
436,14
437,10
438,14
439,14
440,14
441,14
442,10
443,14
444,14
445,14
446,14
447,0
448,14
449,10
450,14
451,10
452,14
453,10
454,14
455,10
456,10
457,10
458,14
459,10
460,10
461,14
462,10
463,14
464,14
465,14
466,14
467,14
468,14
469,10
470,7
471,10
472,9
473,10
474,10
475,10
476,10
477,10
478,14
479,14
480,10
481,14
482,10
483,10
484,10
485,10
486,14
487,10
488,10
489,10
490,14
491,14
492,10
493,14
494,14
495,10
496,14
497,7
498,10
499,14
500,14
501,14
502,10
503,10
504,14
505,10
506,7
507,10
508,10
509,14
510,10
511,11
512,14
513,10
514,10
515,14
516,14
517,10
518,7
519,14
520,14
521,10
522,10
523,10
524,14
525,14
526,14
527,7
528,10
529,0
530,14
531,14
532,14
533,10
534,14
535,7
536,14
537,14
538,14
539,10
540,14
541,10
542,14
543,14
544,14
545,14
546,14
547,14
548,10
549,10
550,14
551,10
552,10
553,14
554,14
555,10
556,14
557,10
558,10
559,14
560,7
561,10
562,10
563,14
564,7
565,10
566,14
567,7
568,10
569,14
570,10
571,14
572,14
573,10
574,0
575,10
576,10
577,7
578,11
579,14
580,14
581,10
582,10
583,10
584,14
585,10
586,14
587,14
588,10
589,14
590,14
591,10
592,10
593,14
594,10
595,14
596,0
597,10
598,11
599,14
600,14
601,14
602,10
603,10
604,10
605,10
606,10
607,10
608,14
609,10
610,10
611,10
612,14
613,10
614,10
615,10
616,14
617,14
618,10
619,14
620,10
621,0
622,11
623,10
624,10
625,10
626,10
627,10
628,10
629,10
630,7
631,11
632,10
633,10
634,10
635,10
636,14
637,14
638,10
639,10
640,10
641,10
642,10
643,10
644,0
645,14
646,14
647,14
648,10
649,10
650,10
651,10
652,10
653,10
654,0
655,14
656,10
657,10
658,0
659,11
660,14
661,10
662,14
663,11
664,14
665,14
666,14
667,10
668,0
669,14
670,10
671,14
672,14
673,14
674,14
675,11
676,0
677,14
678,14
679,14
680,14
681,10
682,10
683,14
684,14
685,10
686,10
687,14
688,14
689,10
690,11
691,7
692,10
693,11
694,10
695,10
696,11
697,14
698,0
699,10
700,10
701,10
702,14
703,10
704,10
705,14
706,10
707,10
708,10
709,10
710,14
711,10
712,10
713,14
714,10
715,14
716,10
717,7
718,10
719,10
720,10
721,14
722,14
723,10
724,14
725,10
726,10
727,14
728,7
729,14
730,10
731,10
732,10
733,7
734,10
735,7
736,10
737,10
738,10
739,11
740,0
741,14
742,10
743,10
744,14
745,10
746,10
747,14
748,10
749,10
750,10
751,10
752,0
753,10
754,0
755,10
756,10
757,0
758,11
759,0
760,10
761,10
762,10
763,14
764,10
765,10
766,10
767,10
768,10
769,10
770,11
771,10
772,10
773,10
774,10
775,14
776,10
777,14
778,10
779,10
780,14
781,10
782,10
783,10
784,10
785,10
786,14
787,10
788,11
789,10
790,0
791,10
792,14
793,10
794,10
795,10
796,10
797,10
798,10
799,7
800,10
801,11
802,14
803,10
804,10
805,14
806,14
807,14
808,10
809,14
810,7
811,10
812,10
813,14
814,0
815,10
816,14
817,14
818,10
819,10
820,14
821,10
822,10
823,10
824,10
825,0
826,10
827,10
828,10
829,10
830,14
831,10
832,10
833,11
834,10
835,10
836,0
837,10
838,14
839,14
840,10
841,10
842,10
843,14
844,10
845,10
846,14
847,10
848,10
849,10
850,14
851,10
852,14
853,10
854,10
855,10
856,11
857,7
858,14
859,10
860,10
861,7
862,14
863,0
864,10
865,10
866,7
867,14
868,14
869,10
870,14
871,14
872,10
873,14
874,14
875,14
876,10
877,0
878,14
879,10
880,10
881,0
882,0
883,10
884,14
885,0
886,0
887,11
888,10
889,10
890,10
891,7
892,10
893,10
894,10
895,10
896,10
897,10
898,14
899,11
900,10
901,7
902,10
903,14
904,0
905,14
906,10
907,7
908,10
909,10
910,10
911,10
912,14
913,10
914,14
915,10
916,14
917,14
918,10
919,14
920,10
921,10
922,10
923,10
924,10
925,10
926,10
927,14
928,10
929,10
930,7
931,10
932,14
933,14
934,14
935,10
936,10
937,10
938,14
939,14
940,10
941,0
942,10
943,10
944,10
945,10
946,10
947,10
948,14
949,7
950,14
951,10
952,11
953,14
954,14
955,10
956,7
957,10
958,10
959,10
960,10
961,14
962,10
963,10
964,7
965,10
966,10
967,14
968,10
969,14
970,10
971,10
972,10
973,14
974,14
975,10
976,13
977,10
978,14
979,14
980,14
981,10
982,10
983,7
984,14
985,0
986,10
987,7
988,10
989,14
990,10
991,10
992,14
993,10
994,14
995,10
996,7
997,14
998,14
999,10
1000,14
1001,10
1002,10
1003,14
1004,14
1005,10
1006,14
1007,14
1008,14
1009,10
1010,10
1011,10
1012,10
1013,10
1014,14
1015,10
1016,14
1017,10
1018,14
1019,14
1020,14
1021,10
1022,10
1023,10
1024,10
1025,14
1026,14
1027,10
1028,10
1029,11
1030,10
1031,10
1032,7
1033,10
1034,10
1035,10
1036,10
1037,10
1038,14
1039,10
1040,10
1041,14
1042,10
1043,14
1044,14
1045,7
1046,0
1047,14
1048,10
1049,10
1050,10
1051,10
1052,10
1053,10
1054,10
1055,14
1056,14
1057,11
1058,10
1059,10
1060,11
1061,11
1062,10
1063,14
1064,10
1065,14
1066,10
1067,10
1068,10
1069,10
1070,10
1071,14
1072,14
1073,10
1074,14
1075,14
1076,10
1077,10
1078,11
1079,10
1080,10
1081,10
1082,10
1083,10
1084,10
1085,10
1086,10
1087,14
1088,10
1089,10
1090,14
1091,11
1092,14
1093,10
1094,14
1095,7
1096,14
1097,14
1098,14
1099,10
1100,10
1101,14
1102,10
1103,14
1104,11
1105,10
1106,10
1107,0
1108,10
1109,14
1110,10
1111,10
1112,10
1113,14
1114,14
1115,10
1116,10
1117,14
1118,10
1119,14
1120,10
1121,10
1122,7
1123,10
1124,10
1125,10
1126,14
1127,10
1128,14
1129,7
1130,0
1131,10
1132,10
1133,10
1134,10
1135,7
1136,10
1137,10
1138,14
1139,10
1140,10
1141,14
1142,10
1143,14
1144,11
1145,0
1146,0
1147,14
1148,14
1149,10
1150,10
1151,14
1152,10
1153,14
1154,10
1155,10
1156,10
1157,10
1158,0
1159,14
1160,10
1161,0
1162,7
1163,10
1164,14
1165,10
1166,10
1167,14
1168,10
1169,0
1170,14
1171,0
1172,10
1173,14
1174,13
1175,11
1176,10
1177,10
1178,10
1179,10
1180,10
1181,10
1182,10
1183,14
1184,10
1185,14
1186,10
1187,10
1188,10
1189,10
1190,10
1191,10
1192,10
1193,10
1194,10
1195,10
1196,10
1197,10
1198,0
1199,10
1200,10
1201,10
1202,14
1203,10
1204,10
1205,14
1206,14
1207,14
1208,14
1209,14
1210,14
1211,0
1212,10
1213,14
1214,7
1215,10
1216,7
1217,14
1218,14
1219,14
1220,10
1221,14
1222,14
1223,14
1224,10
1225,11
1226,10
1227,10
1228,10
1229,14
1230,14
1231,14
1232,14
1233,10
1234,10
1235,10
1236,14
1237,10
1238,14
1239,10
1240,14
1241,10
1242,10
1243,10
1244,10
1245,10
1246,10
1247,14
1248,7
1249,14
1250,14
1251,11
1252,10
1253,10
1254,14
1255,10
1256,10
1257,10
1258,14
1259,14
1260,0
1261,10
1262,0
1263,10
1264,14
1265,10
1266,10
1267,10
1268,10
1269,10
1270,7
1271,14
1272,10
1273,10
1274,14
1275,10
1276,10
1277,10
1278,10
1279,10
1280,14
1281,10
1282,10
1283,14
1284,14
1285,10
1286,14
1287,14
1288,10
1289,14
1290,10
1291,10
1292,10
1293,10
1294,10
1295,14
1296,14
1297,10
1298,10
1299,10
1300,10
1301,7
1302,11
1303,10
1304,10
1305,14
1306,14
1307,14
1308,14
1309,10
1310,10
1311,14
1312,10
1313,10
1314,10
1315,11
1316,14
1317,10
1318,14
1319,14
1320,10
1321,10
1322,10
1323,14
1324,14
1325,10
1326,11
1327,7
1328,14
1329,10
1330,10
1331,10
1332,14
1333,14
1334,10
1335,10
1336,14
1337,14
1338,14
1339,10
1340,9
1341,10
1342,14
1343,10
1344,0
1345,10
1346,10
1347,10
1348,14
1349,14
1350,10
1351,14
1352,11
1353,14
1354,10
1355,10
1356,14
1357,10
1358,10
1359,10
1360,7
1361,10
1362,10
1363,10
1364,10
1365,10
1366,10
1367,10
1368,10
1369,10
1370,14
1371,14
1372,10
1373,14
1374,14
1375,0
1376,10
1377,14
1378,14
1379,10
1380,10
1381,14
1382,14
1383,10
1384,10
1385,10
1386,10
1387,10
1388,10
1389,7
1390,10
1391,14
1392,14
1393,10
1394,11
1395,10
1396,14
1397,14
1398,10
1399,10
1400,10
1401,10
1402,14
1403,10
1404,14
1405,14
1406,10
1407,14
1408,10
1409,10
1410,0
1411,10
1412,14
1413,0
1414,14
1415,14
1416,14
1417,14
1418,0
1419,10
1420,14
1421,10
1422,11
1423,10
1424,10
1425,10
1426,10
1427,0
1428,14
1429,14
1430,14
1431,14
1432,10
1433,14
1434,10
1435,14
1436,14
1437,10
1438,0
1439,10
1440,14
1441,0
1442,11
1443,14
1444,10
1445,14
1446,14
1447,10
1448,10
1449,10
1450,10
1451,14
1452,10
1453,14
1454,10
1455,10
1456,10
1457,10
1458,10
1459,10
1460,14
1461,14
1462,10
1463,10
1464,14
1465,10
1466,10
1467,10
1468,14
1469,10
1470,10
1471,10
1472,10
1473,10
1474,10
1475,10
1476,14
1477,10
1478,10
1479,10
1480,10
1481,10
1482,10
1483,14
1484,14
1485,7
1486,14
1487,14
1488,14
1489,7
1490,10
1491,14
1492,10
1493,14
1494,10
1495,10
1496,10
1497,14
1498,14
1499,14
1500,10
