ID,Predicted Value
1,10
2,14
3,14
4,7
5,10
6,10
7,14
8,10
9,14
10,10
11,14
12,10
13,14
14,14
15,10
16,10
17,0
18,10
19,14
20,0
21,10
22,14
23,14
24,14
25,7
26,14
27,10
28,14
29,10
30,10
31,14
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,14
42,10
43,10
44,14
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,10
56,14
57,14
58,14
59,10
60,10
61,14
62,10
63,10
64,14
65,0
66,0
67,10
68,10
69,10
70,10
71,10
72,10
73,14
74,14
75,14
76,14
77,10
78,10
79,14
80,10
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,14
89,14
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,14
98,7
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,14
110,14
111,10
112,10
113,14
114,10
115,7
116,14
117,10
118,10
119,0
120,14
121,10
122,10
123,10
124,0
125,10
126,10
127,10
128,10
129,10
130,10
131,14
132,14
133,10
134,0
135,14
136,7
137,10
138,14
139,10
140,14
141,14
142,14
143,14
144,10
145,14
146,14
147,14
148,10
149,14
150,14
151,14
152,7
153,10
154,10
155,10
156,10
157,10
158,14
159,10
160,10
161,10
162,10
163,10
164,7
165,10
166,14
167,14
168,10
169,10
170,14
171,10
172,10
173,14
174,14
175,10
176,10
177,14
178,14
179,14
180,10
181,10
182,14
183,0
184,10
185,10
186,14
187,14
188,10
189,10
190,10
191,0
192,14
193,10
194,14
195,14
196,10
197,10
198,10
199,14
200,10
201,14
202,10
203,14
204,10
205,10
206,14
207,0
208,0
209,14
210,10
211,14
212,7
213,10
214,14
215,10
216,10
217,10
218,10
219,7
220,10
221,10
222,10
223,14
224,10
225,10
226,14
227,10
228,14
229,10
230,10
231,10
232,10
233,10
234,10
235,10
236,10
237,10
238,14
239,0
240,10
241,10
242,14
243,10
244,10
245,14
246,14
247,14
248,10
249,10
250,10
251,14
252,14
253,10
254,10
255,14
256,10
257,10
258,10
259,10
260,14
261,10
262,14
263,10
264,14
265,14
266,10
267,10
268,10
269,14
270,10
271,10
272,10
273,10
274,10
275,10
276,10
277,10
278,14
279,14
280,10
281,10
282,14
283,10
284,10
285,10
286,10
287,14
288,10
289,10
290,14
291,10
292,10
293,10
294,14
295,10
296,10
297,10
298,0
299,10
300,0
301,10
302,10
303,10
304,14
305,0
306,10
307,14
308,14
309,10
310,10
311,0
312,10
313,10
314,14
315,10
316,10
317,10
318,0
319,10
320,0
321,14
322,14
323,10
324,10
325,14
326,0
327,10
328,10
329,10
330,14
331,10
332,10
333,14
334,7
335,10
336,10
337,10
338,10
339,10
340,10
341,10
342,7
343,10
344,10
345,10
346,10
347,10
348,10
349,10
350,10
351,14
352,10
353,0
354,10
355,10
356,10
357,14
358,10
359,14
360,10
361,14
362,10
