ID,Predicted Value
1,7
2,10
3,10
4,0
5,10
6,7
7,10
8,14
9,10
10,10
11,10
12,10
13,7
14,10
15,0
16,10
17,10
18,10
19,10
20,10
21,0
22,10
23,10
24,10
25,10
26,10
27,0
28,0
29,10
30,10
31,10
32,10
33,0
34,10
35,10
36,10
37,14
38,0
39,14
40,14
41,10
42,14
43,10
44,10
45,10
46,10
47,14
48,10
49,14
50,10
51,14
52,0
53,10
54,10
55,10
56,10
57,10
58,10
59,14
60,10
61,0
62,10
63,10
64,10
65,10
66,0
67,10
68,10
69,10
70,0
71,14
72,10
73,7
74,10
75,10
76,0
77,10
78,14
79,10
80,14
81,10
82,7
83,0
84,14
85,10
86,10
87,10
88,10
89,10
90,0
91,7
92,10
93,10
94,0
95,10
96,10
97,14
98,10
99,10
100,10
101,7
102,10
103,10
104,10
105,14
106,10
107,10
108,10
109,10
110,10
111,10
112,10
113,14
114,10
115,10
116,10
117,10
118,10
119,0
120,14
121,10
122,10
123,10
124,14
125,10
126,0
127,14
128,10
129,10
130,10
131,10
132,10
133,10
134,10
135,10
136,14
137,10
138,10
139,0
140,10
141,10
142,10
143,10
144,10
145,10
146,10
147,14
148,10
149,10
150,10
151,0
152,0
153,10
154,10
155,10
156,0
157,10
158,10
159,14
160,10
161,7
162,10
163,14
164,10
165,10
166,0
167,10
168,0
169,10
170,10
171,10
172,10
173,10
174,0
175,10
176,10
177,10
178,14
179,0
180,14
181,10
182,10
183,10
184,10
185,10
186,10
187,10
188,14
189,14
190,10
191,0
192,0
193,14
194,10
195,7
196,14
197,10
198,10
199,10
200,10
201,10
202,10
203,10
204,0
205,10
206,10
207,10
208,0
209,10
210,10
211,10
212,10
213,10
214,10
215,10
216,10
217,10
218,10
219,0
220,10
221,10
222,10
223,10
224,10
225,10
226,14
227,10
228,10
229,10
230,10
231,10
232,7
233,10
234,10
235,0
236,10
237,10
238,10
239,0
240,10
241,0
242,0
243,0
244,14
245,0
246,14
247,10
248,10
249,10
250,14
251,0
252,10
253,10
254,7
255,0
256,10
257,0
258,7
259,10
260,10
261,10
262,10
263,10
264,0
265,10
266,10
267,10
268,14
269,10
270,10
271,10
272,14
273,10
274,10
275,10
276,0
277,10
278,0
279,14
280,10
281,14
282,10
283,10
284,10
285,10
286,14
287,10
288,0
289,10
290,14
291,10
292,14
293,0
294,10
295,10
296,10
297,10
298,10
299,10
300,0
301,7
302,10
303,14
304,10
305,10
306,10
307,0
308,10
309,10
310,10
311,10
312,0
313,10
314,10
315,10
316,10
317,10
318,10
319,0
320,0
321,10
322,0
323,10
324,10
325,7
326,0
327,0
328,0
329,10
330,10
331,7
332,10
333,10
334,0
335,10
336,10
337,14
338,10
339,10
340,10
341,10
342,10
343,14
344,0
